business_code,business_name,category,unit,sheet,cell,value_2024,technical_classification,used_by_formulas,status,context
TAUX_CHANGE_EUR,Taux de change EUR,GLOBAL_PARAMETER,MGA/EUR,Données SOMIDA,E6,4900,CANDIDATE_PARAMETER,224,VALIDATED,C4=Monnaie | D4=Unité | E4=Montant | C5=Taux de change USD | D5=MGA/USD | E5=4500 | C6=Taux de change EUR | D6=MGA/EUR | C7=Augmentation globale de salaire | E7=0.08 | C8=Taux de TVA | E8=0.2
RENDEMENT_MICA_BRUT_GAZ,Rendement micas bruts vers gaz,GLOBAL_PARAMETER,%,Données SOMIDA,D58,0.8,CANDIDATE_PARAMETER,74,VALIDATED,C56=Besoins en Matieres Premieres | D56=Unité | E56==+D15 | F56==+E15 | C57=Matieres de base | D57=Micas gazs | C58=Rendement micas bruts vs gaz | C59=Rendement micas bruts vs dechets | D59=0.1 | C60=Besoins en Micas Gaz | E60==+D48/$D$58 | F60==+E48/$D$58
TAUX_CHANGE_USD,Taux de change USD,GLOBAL_PARAMETER,MGA/USD,Données SOMIDA,E5,4500,CANDIDATE_PARAMETER,44,VALIDATED,C4=Monnaie | D4=Unité | E4=Montant | C5=Taux de change USD | D5=MGA/USD | C6=Taux de change EUR | D6=MGA/EUR | E6=4900 | C7=Augmentation globale de salaire | E7=0.08
TAUX_PRODUITS_TRANSFORMES,Taux appliqué aux produits transformés,GLOBAL_PARAMETER,%,CA,C44,0.05,CANDIDATE_PARAMETER,36,VALIDATED,"B42=Libellés | C42==+C17 | D42==+D17 | E42==+E17 | B43=Produit brut | C43=0.05 | B44=Produits transformés | B45==+B19 | C45==+SUMIF($B$18:$B$31,$B$45,C18:C31)*$C$44 | D45==+SUMIF($B$18:$B$31,$B$45,D18:D31)*$C$44 | E45==+SUMIF($B$18:$B$31,$B$45,E18:E31)*$C$44 | B46==+B20 | C46==+SUMIF($B$18:$B$31,$B$46,C18:C31)*$C$44 | D46==+SUMIF($B$18:$B$31,$B$46,D18:D31)*$C$44 | E46==+SUMIF($B$18:$B$31,$B$46,E18:E31)*$C$44"
PART_ACHAT_TRANOMARO,Part des achats à Tranomaro,GLOBAL_PARAMETER,%,Données SOMIDA,D62,0.25,CANDIDATE_PARAMETER,29,VALIDATED,C60=Besoins en Micas Gaz | E60==+D48/$D$58 | F60==+E48/$D$58 | C61=Lieux d'achats | C62=Tranomaro | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | D63=0.35 | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | D64=0.2 | E64==+D64*$E$60 | F64==+$F$60*D64
PART_ACHAT_AMPANDRANDAVA,Part des achats à Ampandrandava,GLOBAL_PARAMETER,%,Données SOMIDA,D63,0.35,CANDIDATE_PARAMETER,29,VALIDATED,C61=Lieux d'achats | C62=Tranomaro | D62=0.25 | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | D64=0.2 | E64==+D64*$E$60 | F64==+$F$60*D64 | C65=Autres | D65==100%-D62-D63-D64 | E65==+D65*$E$60 | F65==+$F$60*D65
PART_ACHAT_FORT_DAUPHIN,Part des achats à Fort Dauphin,GLOBAL_PARAMETER,%,Données SOMIDA,D64,0.2,CANDIDATE_PARAMETER,29,VALIDATED,C62=Tranomaro | D62=0.25 | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | D63=0.35 | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | E64==+D64*$E$60 | F64==+$F$60*D64 | C65=Autres | D65==100%-D62-D63-D64 | E65==+D65*$E$60 | F65==+$F$60*D65 | C66=Benato
LOYER_1_MENSUEL,Loyer mensuel 1,BUSINESS_INPUT,MGA/mois,Données SOMIDA,E27,1050000,CANDIDATE_PARAMETER,25,VALIDATED,C25=SPLITTING SW1 | C26=SPLITTING SW2 | C27=Loyer 1 | D27==+E27*12 | G27=Dr Jane | C28=Loyer 2 | D28==+E28*12 | E28=918750 | G28=Dr Jane
LOYER_2_MENSUEL,Loyer mensuel 2,BUSINESS_INPUT,MGA/mois,Données SOMIDA,E28,918750,CANDIDATE_PARAMETER,25,VALIDATED,C26=SPLITTING SW2 | C27=Loyer 1 | D27==+E27*12 | E27=1050000 | G27=Dr Jane | C28=Loyer 2 | D28==+E28*12 | G28=Dr Jane | C30=Types | D30=Catégories
AUGMENTATION_GLOBALE_SALAIRE,Augmentation globale de salaire,GLOBAL_PARAMETER,%,Données SOMIDA,E7,0.08,CANDIDATE_INPUT,0,VALIDATED,C5=Taux de change USD | D5=MGA/USD | E5=4500 | C6=Taux de change EUR | D6=MGA/EUR | E6=4900 | C7=Augmentation globale de salaire | C8=Taux de TVA | E8=0.2
TAUX_TVA,Taux de TVA,GLOBAL_PARAMETER,%,Données SOMIDA,E8,0.2,CANDIDATE_INPUT,0,VALIDATED,C6=Taux de change EUR | D6=MGA/EUR | E6=4900 | C7=Augmentation globale de salaire | E7=0.08 | C8=Taux de TVA | C10=Glissement USD: | D10=0.03 | E10=0 | F10=1 | G10=2
,,,,Emprunts FD,D8,30,CANDIDATE_PARAMETER,544,TO_REVIEW,B6=En millier d'Ar | B7=n | C7=Differé | D7=n | E7=i | F7=VA | B8==+C8+D8 | C8=6 | E8==+E5/12 | F8==+E2 | B10=Tableau d'amortissement de l'emprunt (limité à 500 périodes)
,,,,Données SOMIDA,G73,250,CANDIDATE_PARAMETER,229,TO_REVIEW,E71=200 | F71=ar/kg | G71=250 | H71=Ar/kg | I71=Vente | E72=300 | F72=ar/kg | G72=100 | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | H73=Ar/kg | G74=450 | H74=Ar/kg | I74==+C79 | E75=200 | F75=ar/kg | G75=250 | H75=Ar/kg | I75==+C80
,,,,Données SOMIDA,E73,300,CANDIDATE_PARAMETER,109,TO_REVIEW,C71==+C62 | D71=115 km | E71=200 | F71=ar/kg | G71=250 | C72==+C63 | D72=260 km | E72=300 | F72=ar/kg | G72=100 | C73=FP1 GAZ | D73=260 km | F73=ar/kg | G73=250 | C74==+C64 | D74=0 km | G74=450 | C75==+C65 | D75=200 km | E75=200 | F75=ar/kg | G75=250
,,,,Commandes,C47,0.02,CANDIDATE_PARAMETER,108,TO_REVIEW,B45=Total general | C45==+C32+C39+C43 | D45==+D32+D39+D43 | E45==+E32+E39+E43 | B47=Niveau Stocks | B49=Rubriques | C49==+C41 | D49==+D41 | E49==+E41
,,,,Sal,C10,8500,CANDIDATE_PARAMETER,72,TO_REVIEW,B8=Nombre de jour | D8=25 | E8=25 | B10=Cout journalier | A12=JOURNALIERS ET TEMPORAIRES
,,,,Primes,G20,1,CANDIDATE_PARAMETER,52,TO_REVIEW,E18=T/Mois/Equipe | F18==+Org!M64 | G18==+D18*F18*$G$15*1000 | H18==+D18*F18*$H$15*1000 | I18==+$D$18*$F$18*$I$15*1000 | E19=T/Mois/Equipe | F19=6 | G19==+D19*F19*$G$15*1000 | H19==+D19*F19*$H$15*1000 | I19==+$D$19*$F$19*$I$15*1000 | F20=Primes | H20==+G20*2 | I20==+H20+G20 | E22==+'Besoins en micas'!D59 | F22==+'Besoins en micas'!E59 | G22==+'Besoins en micas'!F59 | H22==+'Besoins en micas'!G59 | I22==+'Besoins en micas'!H59
,,,,Commandes,C4,20,CANDIDATE_PARAMETER,37,TO_REVIEW,C2==+C45 | D2==+D45 | E2==+E45 | B3=Conditionnement | C3=Poids | E3=Nbre Sacs | B4==+B28 | D4=T/CT | E4==+C4*1000/50 | B5==+B29 | C5=17.8 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | C6=28 | D6=T/CT | E6==+C6*1000/50
,,,,Besoins en micas,C8,0.02,CANDIDATE_PARAMETER,36,TO_REVIEW,B6=Total | C6==SUM(C3:C5) | D6==SUM(D3:D5) | E6==SUM(E3:E5) | B8=Niveau de stocks | B9=Stocks | C9==+C2 | D9==+D2 | E9==+E2 | B10==+B3 | C10=0 | D10==+C22 | E10==+D22
,,,,Commandes,C6,28,CANDIDATE_PARAMETER,26,TO_REVIEW,B4==+B28 | C4=20 | D4=T/CT | E4==+C4*1000/50 | B5==+B29 | C5=17.8 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | D6=T/CT | E6==+C6*1000/50 | B7==+B31 | C7=25.2 | D7=T/CT | E7==+C7*1000/50
,,,,Commandes,C5,17.8,CANDIDATE_PARAMETER,25,TO_REVIEW,B3=Conditionnement | C3=Poids | E3=Nbre Sacs | B4==+B28 | C4=20 | D4=T/CT | E4==+C4*1000/50 | B5==+B29 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | C6=28 | D6=T/CT | E6==+C6*1000/50 | B7==+B31 | C7=25.2 | D7=T/CT | E7==+C7*1000/50
,,,,Commandes,C7,25.2,CANDIDATE_PARAMETER,25,TO_REVIEW,B5==+B29 | C5=17.8 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | C6=28 | D6=T/CT | E6==+C6*1000/50 | B7==+B31 | D7=T/CT | E7==+C7*1000/50 | B9==+'Données SOMIDA'!C31 | C9==+'Besoins en micas'!C2 | D9==+'Besoins en micas'!D2 | E9==+'Besoins en micas'!E2
,,,,Données SOMIDA,D79,350,CANDIDATE_PARAMETER,25,TO_REVIEW,C78=Prix de vente | C79==+Commandes!B28 | E79=EUR | F79=FOB | C80==+Commandes!B29 | D80=350 | E80=EUR | F80=FOB | C81=Goodies | D81=425 | E81=USD | F81=CIF
,,,,Données SOMIDA,D80,350,CANDIDATE_PARAMETER,25,TO_REVIEW,C78=Prix de vente | C79==+Commandes!B28 | D79=350 | E79=EUR | F79=FOB | C80==+Commandes!B29 | E80=EUR | F80=FOB | C81=Goodies | D81=425 | E81=USD | F81=CIF | C82=Elinar | D82=300 | E82=EUR | F82=FOB
