rule_id,sheet,family,occurrences,pattern,example_cell,example_formula,business_name,business_description,python_function,status
RULE_0001,Calcul,CROSS_SHEET_REFERENCE,1188,=REF[BESOINSENMICAS],A3,=+'Besoins en micas'!B142,,,,TO_REVIEW
RULE_0002,Calcul,CROSS_SHEET_REFERENCE,972,=REF[CA],A114,=CA!B59,,,,TO_REVIEW
RULE_0003,Sal,LOCAL_REFERENCE,846,=LOCAL_CELL,D13,=+D2,,,,TO_REVIEW
RULE_0004,AN,LOCAL_REFERENCE,712,=LOCAL_CELL,C12,=+C62,,,,TO_REVIEW
RULE_0005,Besoins en micas,LOCAL_REFERENCE,702,=LOCAL_CELL,C9,=+C2,,,,TO_REVIEW
RULE_0006,CA,LOCAL_REFERENCE,514,=LOCAL_CELL,B12,=+B7,,,,TO_REVIEW
RULE_0007,Sal,ARITHMETIC,472,=LOCAL_CELL+LOCAL_CELL,D26,=+D24+D25,,,,TO_REVIEW
RULE_0008,Stat,BROKEN_REFERENCE,432,='BESOINSENMICAS'!#REF!,C4,='Besoins en micas'!#REF!,,,,INVALID
RULE_0009,AN,AGGREGATION,400,=SUM(LOCAL_RANGE),P3,=SUM(H3:O3),,,,TO_REVIEW
RULE_0010,Sal,CROSS_SHEET_REFERENCE,328,=REF[PRIMES],D75,=+Primes!D48,,,,TO_REVIEW
RULE_0011,Production,LOCAL_REFERENCE,323,=LOCAL_CELL,B9,=+B3,,,,TO_REVIEW
RULE_0012,AN,ARITHMETIC,316,=LOCAL_CELL+LOCAL_CELL,D26,=+D89+D90,,,,TO_REVIEW
RULE_0013,Sal,AGGREGATION,292,=SUM(LOCAL_RANGE),D7,=SUM(D3:D6),,,,TO_REVIEW
RULE_0014,Besoins en micas,AGGREGATION,282,=SUM(LOCAL_RANGE),O3,=SUM(C3:N3),,,,TO_REVIEW
RULE_0015,Stat,MULTIPLICATION,264,=LOCAL_CELL*LOCAL_CELL,H4,=+F4*G4,,,,TO_REVIEW
RULE_0016,AN,ARITHMETIC,252,=-(-LOCAL_CELL+LOCAL_CELL),D252,=-(-C252+D4),,,,TO_REVIEW
RULE_0017,Achat,CROSS_SHEET_REFERENCE,241,=REF[DÉTAILSACHATSDIRECT],D4,=+'Détails Achats direct'!D15,,,,TO_REVIEW
RULE_0018,Primes,MULTIPLICATION,240,=LOCAL_CELL*LOCAL_CELL,D8,=+$B$8*D6,,,,TO_REVIEW
RULE_0019,Prestation,LOCAL_REFERENCE,235,=LOCAL_CELL,D2,=+D18,,,,TO_REVIEW
RULE_0020,Primes,LOCAL_REFERENCE,228,"=IF(LOCAL_CELL>=LOCAL_CELL,LOCAL_CELL,IF(LOCAL_CELL>=LOCAL_CELL,LOCAL_CELL,IF(LOCAL_CELL>=LOCAL_CELL,LOCAL_CELL,IF(LOCAL_CELL>=LOCAL_CELL,LOCAL_CELL,0))))",D29,"=+IF(D23>=$J$16,$J$20,IF(D23>=$I$16,$I$20,IF(D23>=$H$16,$H$20,IF(D23>=$G$16,$G$20,0))))",,,,TO_REVIEW
RULE_0021,Calcul,PRODUCTION_DEPENDENCY,216,=REF[PRODUCTION],A225,=+Production!I139,,,,TO_REVIEW
RULE_0022,Besoins en micas,MULTIPLICATION,216,=LOCAL_CELL*LOCAL_CELL,H142,=+F142*G142,,,,TO_REVIEW
RULE_0023,Besoins en micas,DIVISION,214,"=IFERROR(+LOCAL_CELL/LOCAL_CELL,"""")",C91,"=IFERROR(+C81/C86,"" "")",,,,TO_REVIEW
RULE_0024,Etat_Trésorerie FD,AGGREGATION,213,=SUM(LOCAL_RANGE),P9,=SUM(D9:O9),,,,TO_REVIEW
RULE_0025,Détails Achats direct,LOCAL_REFERENCE,199,=LOCAL_CELL,C21,=+C3,,,,TO_REVIEW
RULE_0026,BL,AGGREGATION,197,=SUM(LOCAL_RANGE),U5,=SUM(H5:T5),,,,TO_REVIEW
RULE_0027,BL,LOCAL_REFERENCE,196,"=LEFT(LOCAL_CELL,1)",B5,"=+LEFT(A5,1)",,,,TO_REVIEW
RULE_0028,BL,LOCAL_REFERENCE,196,"=LEFT(LOCAL_CELL,2)",C5,"=+LEFT(A5,2)",,,,TO_REVIEW
RULE_0029,BL,LOCAL_REFERENCE,196,"=LEFT(LOCAL_CELL,3)",D5,"=+LEFT(A5,3)",,,,TO_REVIEW
RULE_0030,BL,LOCAL_REFERENCE,196,"=LEFT(LOCAL_CELL,4)",E5,"=+LEFT(A5,4)",,,,TO_REVIEW
RULE_0031,Besoins en micas,ARITHMETIC,196,=LOCAL_CELL+LOCAL_CELL,C81,=+C78+C71,,,,TO_REVIEW
RULE_0032,Emprunts FD,ARITHMETIC,185,"=IF(LOCAL_CELL="""","""",IF(LOCAL_CELL+1>LOCAL_CELL,"""",LOCAL_CELL-LOCAL_CELL))",I15,"=IF(A14="" "","" "",IF(A14+1>$D$8,"" "",E15-H15))",,,,TO_REVIEW
RULE_0033,Emprunts FD,ARITHMETIC,178,"=IF(LOCAL_CELL="""","""",IF(LOCAL_CELL+1>LOCAL_CELL,"""",LOCAL_CELL))",E21,"=IF(A20="" "","" "",IF(A20+1>$D$8,"" "",I20))",,,,TO_REVIEW
RULE_0034,Etat_Trésorerie FD,CROSS_SHEET_REFERENCE,167,=REF[-AN],D9,=-AN!D180,,,,TO_REVIEW
RULE_0035,Stat,ARITHMETIC,157,=LOCAL_CELL+LOCAL_CELL,K4,=+J4+H4,,,,TO_REVIEW
RULE_0036,CA,CURRENCY_CONVERSION,157,=LOCAL_CELL/PARAM[TAUX_CHANGE_EUR],C54,=+C53/'Données SOMIDA'!$E$6,,,,TO_REVIEW
RULE_0037,Production,AGGREGATION,153,=SUM(LOCAL_RANGE),P3,=SUM(D3:O3),,,,TO_REVIEW
RULE_0038,Feuil3,LOCAL_REFERENCE,147,=LOCAL_CELL,M4,=+I4,,,,TO_REVIEW
RULE_0039,Stat,DIVISION,145,"=IFERROR(+LOCAL_CELL/LOCAL_CELL,0)",L4,"=IFERROR(+K4/F4,0)",,,,TO_REVIEW
RULE_0040,Amort,CROSS_SHEET_REFERENCE,145,=REF[INVESTFD],C3,=+'Invest FD'!C22,,,,TO_REVIEW
RULE_0041,CA,CROSS_SHEET_REFERENCE,144,=LOCAL_CELL/REF[DONNÉESSOMIDA],J59,=+I59/'Données SOMIDA'!$E$11,,,,TO_REVIEW
RULE_0042,Primes,AGGREGATION,143,=SUM(LOCAL_RANGE),P3,=SUM(D3:O3),,,,TO_REVIEW
RULE_0043,Production,ORDER_DEPENDENCY,138,=REF[COMMANDES],D2,=+Commandes!C27,,,,TO_REVIEW
RULE_0044,Besoins en micas,CROSS_SHEET_REFERENCE,132,=LOCAL_CELL*REF[DONNÉESSOMIDA],C47,=+C14*'Données SOMIDA'!$D$65,,,,TO_REVIEW
RULE_0045,CA,CROSS_SHEET_REFERENCE,132,"=_XLFN.XLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL)",B59,"=_xlfn.XLOOKUP(C59,'Données SOMIDA'!$C$18:$C$28,'Données SOMIDA'!$B$18:$B$28)",,,,TO_REVIEW
RULE_0046,CA,CROSS_SHEET_REFERENCE,132,"=IF(LOCAL_CELL=""LOCAL_CELL"",REF[DONNÉESSOMIDA],VLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,12,FALSE))",F59,"=IF(C59=""FP1"",'Données SOMIDA'!$N$83,VLOOKUP(E59,'Données SOMIDA'!$C$79:$N$85,12,FALSE))",,,,TO_REVIEW
RULE_0047,Détails Achats direct,CROSS_SHEET_REFERENCE,132,=REF[BESOINSENMICAS],D3,=+'Besoins en micas'!C43,,,,TO_REVIEW
RULE_0048,Primes,LOCAL_REFERENCE,130,=LOCAL_CELL,C16,=+C23,,,,TO_REVIEW
RULE_0049,AN,ARITHMETIC,125,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,D12,=+D58+D61+D60,,,,TO_REVIEW
RULE_0050,Invest FD,LOCAL_REFERENCE,124,=LOCAL_CELL,B13,=+B3,,,,TO_REVIEW
RULE_0051,Prestation,AGGREGATION,123,=SUM(LOCAL_RANGE),P4,=SUM(D4:O4),,,,TO_REVIEW
RULE_0052,Commandes,LOCAL_REFERENCE,114,=LOCAL_CELL,C2,=+C45,,,,TO_REVIEW
RULE_0053,Stat,LOCAL_REFERENCE,108,"=_XLFN.XLOOKUP(LOCAL_CELL,O:O,N:N)",B4,"=_xlfn.XLOOKUP(C4,O:O,N:N)",,,,TO_REVIEW
RULE_0054,Stat,CROSS_SHEET_REFERENCE,108,"=IF(LOCAL_CELL=""LOCAL_CELL"",REF[DONNÉESSOMIDA],VLOOKUP(LOCAL_CELL,REF[DONNÉESSOMIDA]:LOCAL_CELL,5,FALSE))",G4,"=IF(C4=""FP1"",'Données SOMIDA'!$G$73,VLOOKUP(E4,'Données SOMIDA'!$C$71:$G$75,5,FALSE))",,,,TO_REVIEW
