sheet,cell,row,column,type,value,number_format,style_id
FORT DAUPHIN,B2,2,2,FORMULA,=4200/30,General,1
FORT DAUPHIN,J3,3,10,FORMULA,=+J5/D5,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",56
FORT DAUPHIN,D5,5,4,FORMULA,"=SUBTOTAL(3,D7:D135)","#,##0.00",58
FORT DAUPHIN,G5,5,7,FORMULA,"=SUBTOTAL(9,G7:G135)","#,##0.00",58
FORT DAUPHIN,H5,5,8,FORMULA,"=SUBTOTAL(9,H7:H135)","#,##0.00",58
FORT DAUPHIN,I5,5,9,FORMULA,"=SUBTOTAL(9,I7:I135)","#,##0.00",58
FORT DAUPHIN,J5,5,10,FORMULA,"=SUBTOTAL(9,J7:J135)","#,##0.00",58
FORT DAUPHIN,K5,5,11,FORMULA,"=SUBTOTAL(9,K7:K135)","#,##0.00",58
FORT DAUPHIN,L5,5,12,FORMULA,"=SUBTOTAL(9,L7:L135)","#,##0.00",58
FORT DAUPHIN,M5,5,13,FORMULA,"=SUBTOTAL(9,M7:M135)","#,##0.00",58
FORT DAUPHIN,N5,5,14,FORMULA,"=SUBTOTAL(9,N7:N135)","#,##0.00",58
FORT DAUPHIN,O5,5,15,FORMULA,"=SUBTOTAL(9,O7:O135)","#,##0.00",58
FORT DAUPHIN,P5,5,16,FORMULA,"=SUBTOTAL(9,P7:P135)","#,##0.00",58
FORT DAUPHIN,Q5,5,17,FORMULA,"=SUBTOTAL(9,Q7:Q135)","#,##0.00",58
FORT DAUPHIN,R5,5,18,FORMULA,"=SUBTOTAL(9,R7:R135)","#,##0.00",58
FORT DAUPHIN,S5,5,19,FORMULA,"=SUBTOTAL(9,S7:S135)","#,##0.00",58
FORT DAUPHIN,T5,5,20,FORMULA,"=SUBTOTAL(9,T7:T135)","#,##0.00",58
FORT DAUPHIN,U5,5,21,FORMULA,"=SUBTOTAL(9,U7:U135)","#,##0.00",58
FORT DAUPHIN,V5,5,22,FORMULA,"=SUBTOTAL(9,V7:V135)","#,##0.00",58
FORT DAUPHIN,W5,5,23,FORMULA,"=SUBTOTAL(9,W7:W135)","#,##0.00",58
FORT DAUPHIN,X5,5,24,FORMULA,"=SUBTOTAL(9,X7:X135)","#,##0.00",58
FORT DAUPHIN,Y5,5,25,FORMULA,"=SUBTOTAL(9,Y7:Y135)","#,##0.00",58
FORT DAUPHIN,Z5,5,26,FORMULA,"=SUBTOTAL(9,Z7:Z135)","#,##0.00",58
FORT DAUPHIN,A6,6,1,FORMULA,"=""Matricule""",General,28
FORT DAUPHIN,B6,6,2,FORMULA,"=""NOM""",General,29
FORT DAUPHIN,C6,6,3,FORMULA,"=""PRENOMS""",General,29
FORT DAUPHIN,D6,6,4,FORMULA,"=""FONCTION""",General,29
FORT DAUPHIN,E6,6,5,FORMULA,"=""entree""",General,29
FORT DAUPHIN,F6,6,6,FORMULA,"=""CAT""",General,29
FORT DAUPHIN,G6,6,7,FORMULA,"=""Base""","_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H6,6,8,FORMULA,"=""ALLOCATION DE CONGES""","_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I6,6,9,FORMULA,"=""HEURES SUPP""","_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J6,6,10,FORMULA,"=""NBRES""","_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K6,6,11,FORMULA,"=""ABSENCE""","_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L6,6,12,FORMULA,"=""PREAVIS (retenue)""","_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M6,6,13,FORMULA,"=""INDEMNITE""","_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
