sheet,CALCULATED,CANDIDATE_INPUT,CANDIDATE_PARAMETER,LABEL,UNKNOWN,total
 OKB TRA ABR,43,0,26,81,0,150
AMPANDRANDAVA,653,1065,0,0,76,1794
AN,2583,42,248,206,0,3079
Achat,486,0,0,77,0,563
Amort,187,0,0,20,0,207
Autres,29,5,0,5,0,39
BL,1082,1287,0,413,0,2782
Besoins en micas,2676,0,103,77,0,2856
CA,1863,12,37,133,0,2045
CR Nature FD,771,12,62,73,0,918
Calcul,2486,0,0,55,0,2541
Commande à honorer,19,41,2,54,6,122
Commandes,492,1,113,22,0,628
Données SOMIDA,220,7,50,195,0,472
Détails,129,21,24,167,0,341
Détails Achats direct,490,0,16,32,0,538
Détails FF FD,131,0,66,45,0,242
Emprunts FD,668,3,11,34,0,716
Etat_Trésorerie FD,694,258,1,112,0,1065
FORT DAUPHIN,388,2168,402,1107,129,4194
Feuil1,69,0,27,18,0,114
Feuil1 (2),23,548,2,111,0,684
Feuil3,610,0,9,77,0,696
Frais financier,39,0,0,4,0,43
Goodeis,75,3,65,147,0,290
I&T,123,0,38,21,0,182
Invest FD,219,12,75,8,0,314
OKB FP1,50,0,24,82,0,156
Org,240,142,98,337,0,817
Org (2),260,226,115,431,0,1032
Organigramme,2,0,0,73,0,75
Prestation,730,175,36,124,0,1065
Primes,1044,16,6,48,0,1114
Production,1377,1,8,63,0,1449
Recap coupeuses Ampandra,3,33,6,18,1,61
Recap coupeuses FD,24,10,7,18,0,59
Sal,2533,24,99,189,0,2845
Stat,1565,37,5,41,0,1648
Tableau de bord,0,0,0,1,0,1
Traitement,203,177,0,315,0,695
