sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format
FORT DAUPHIN,B2,2,2,FORMULA,=4200/30,CALCULATED,HIGH,0,Cellule contenant une formule Excel,General
FORT DAUPHIN,J3,3,10,FORMULA,=+J5/D5,CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,D5,5,4,FORMULA,"=SUBTOTAL(3,D7:D135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,G5,5,7,FORMULA,"=SUBTOTAL(9,G7:G135)",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,H5,5,8,FORMULA,"=SUBTOTAL(9,H7:H135)",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,I5,5,9,FORMULA,"=SUBTOTAL(9,I7:I135)",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,J5,5,10,FORMULA,"=SUBTOTAL(9,J7:J135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,K5,5,11,FORMULA,"=SUBTOTAL(9,K7:K135)",CALCULATED,HIGH,0,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,L5,5,12,FORMULA,"=SUBTOTAL(9,L7:L135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,M5,5,13,FORMULA,"=SUBTOTAL(9,M7:M135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,N5,5,14,FORMULA,"=SUBTOTAL(9,N7:N135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,O5,5,15,FORMULA,"=SUBTOTAL(9,O7:O135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,P5,5,16,FORMULA,"=SUBTOTAL(9,P7:P135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,Q5,5,17,FORMULA,"=SUBTOTAL(9,Q7:Q135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
FORT DAUPHIN,R5,5,18,FORMULA,"=SUBTOTAL(9,R7:R135)",CALCULATED,HIGH,1,Cellule contenant une formule Excel,"#,##0.00"
