sheet,region_id,start_row,end_row,start_column,end_column,row_count,column_span,formula_count,constant_count,text_count,numeric_count
FORT DAUPHIN,FORT DAUPHIN_R1,5,135,1,26,131,26,118,3143,950,2064
FORT DAUPHIN,FORT DAUPHIN_R2,138,189,1,25,52,25,156,393,85,308
FORT DAUPHIN,FORT DAUPHIN_R3,191,195,2,15,5,14,15,43,11,32
FORT DAUPHIN,FORT DAUPHIN_R4,197,210,1,15,14,15,29,72,21,51
FORT DAUPHIN,FORT DAUPHIN_R5,212,244,1,15,33,15,53,154,40,114
FORT DAUPHIN,FORT DAUPHIN_R6,246,247,3,12,2,10,11,0,0,0
BL,BL_R1,3,202,1,21,200,21,1082,1686,413,1273
Données SOMIDA,Données SOMIDA_R1,4,6,3,5,3,3,0,9,7,2
Données SOMIDA,Données SOMIDA_R2,10,12,3,13,3,11,18,13,3,10
Données SOMIDA,Données SOMIDA_R3,18,20,2,13,3,12,19,9,6,3
Données SOMIDA,Données SOMIDA_R4,27,28,2,7,2,6,2,8,6,2
Données SOMIDA,Données SOMIDA_R5,30,42,2,4,13,3,2,37,37,0
Données SOMIDA,Données SOMIDA_R6,48,51,3,12,4,10,19,4,2,2
Données SOMIDA,Données SOMIDA_R7,53,54,3,12,2,10,9,7,4,3
Données SOMIDA,Données SOMIDA_R8,62,65,3,13,4,11,25,15,8,7
Données SOMIDA,Données SOMIDA_R9,70,83,3,15,14,13,44,77,55,22
Données SOMIDA,Données SOMIDA_R10,85,86,3,12,2,10,7,7,6,1
Données SOMIDA,Données SOMIDA_R11,108,109,3,13,2,11,20,2,2,0
Stat,Stat_R1,3,112,2,31,110,30,1558,76,39,37
Stat,Stat_R2,115,116,6,12,2,7,5,5,0,5
Org,Org_R1,13,21,2,57,9,56,44,90,62,28
Org,Org_R2,30,37,1,59,8,59,34,61,48,13
Org,Org_R3,62,79,1,34,18,34,87,152,122,30
Org,Org_R4,85,91,2,17,7,16,18,15,10,5
Org,Org_R5,94,95,2,20,2,19,0,8,5,3
Org,Org_R6,99,104,2,27,6,26,5,64,13,51
Org,Org_R7,106,109,10,20,4,11,7,25,4,21
Org,Org_R8,111,115,2,22,5,21,0,40,5,35
Org,Org_R9,117,120,2,22,4,21,0,36,5,31
Org,Org_R10,124,126,2,22,3,21,14,10,3,7
Org,Org_R11,128,130,2,22,3,21,14,10,3,7
 OKB TRA ABR, OKB TRA ABR_R1,14,16,1,6,3,6,4,13,11,2
 OKB TRA ABR, OKB TRA ABR_R2,20,30,1,6,11,6,19,38,27,11
 OKB TRA ABR, OKB TRA ABR_R3,34,37,1,6,4,6,5,17,13,4
 OKB TRA ABR, OKB TRA ABR_R4,39,41,1,6,3,6,4,13,8,5
OKB FP1,OKB FP1_R1,15,18,1,6,4,6,6,15,12,3
OKB FP1,OKB FP1_R2,22,32,1,6,11,6,19,38,27,11
OKB FP1,OKB FP1_R3,36,39,1,6,4,6,5,17,13,4
OKB FP1,OKB FP1_R4,41,43,1,6,3,6,6,11,8,3
OKB FP1,OKB FP1_R5,46,47,2,5,2,4,4,2,2,0
Goodeis,Goodeis_R1,6,7,1,4,2,4,2,6,4,2
Goodeis,Goodeis_R2,18,22,1,6,5,6,6,19,15,4
Goodeis,Goodeis_R3,28,48,1,13,21,13,45,148,92,56
Goodeis,Goodeis_R4,52,53,1,12,2,12,6,10,8,2
Goodeis,Goodeis_R5,57,58,4,9,2,6,4,4,4,0
Org (2),Org (2)_R1,13,21,2,57,9,56,37,94,63,31
Org (2),Org (2)_R2,25,30,29,49,6,21,11,33,19,14
Org (2),Org (2)_R3,33,38,29,61,6,33,12,51,38,13
Org (2),Org (2)_R4,40,43,29,61,4,33,6,29,23,6
Org (2),Org (2)_R5,136,143,2,59,8,58,27,64,47,17
Org (2),Org (2)_R6,168,187,2,34,20,33,77,172,136,36
Org (2),Org (2)_R7,193,199,2,17,7,16,18,15,10,5
Org (2),Org (2)_R8,202,203,2,20,2,19,0,8,5,3
Org (2),Org (2)_R9,207,212,2,20,6,19,0,63,12,51
Org (2),Org (2)_R10,214,217,10,20,4,11,7,25,4,21
Org (2),Org (2)_R11,219,223,2,24,5,23,4,41,5,36
Org (2),Org (2)_R12,225,238,2,32,14,31,41,120,14,106
Organigramme,Organigramme_R1,6,7,2,10,2,9,1,6,6,0
Organigramme,Organigramme_R2,19,20,2,10,2,9,1,6,6,0
Organigramme,Organigramme_R3,39,40,2,14,2,13,0,10,10,0
Organigramme,Organigramme_R4,45,46,4,16,2,13,0,8,8,0
Organigramme,Organigramme_R5,48,49,4,16,2,13,0,6,6,0
Recap coupeuses FD,Recap coupeuses FD_R1,7,11,2,15,5,14,23,31,14,17
AMPANDRANDAVA,AMPANDRANDAVA_R1,1,78,1,23,78,23,653,1141,0,1065
Recap coupeuses Ampandra,Recap coupeuses Ampandra_R1,5,9,1,14,5,14,3,55,16,39
Commande à honorer,Commande à honorer_R1,2,8,1,11,7,11,2,50,25,23
Commande à honorer,Commande à honorer_R2,12,17,1,9,6,9,3,36,18,15
Commande à honorer,Commande à honorer_R3,19,23,3,7,5,5,12,5,5,0
Détails,Détails_R1,8,10,1,15,3,15,37,2,2,0
Détails,Détails_R2,24,28,1,6,5,6,9,18,12,6
Détails,Détails_R3,30,36,1,10,7,10,10,28,14,14
Détails,Détails_R4,39,40,1,11,2,11,2,6,4,2
Détails,Détails_R5,43,44,1,7,2,7,4,5,5,0
Détails,Détails_R6,46,49,1,7,4,7,7,14,14,0
Détails,Détails_R7,61,67,1,8,7,8,10,37,33,4
Détails,Détails_R8,77,78,1,7,2,7,1,7,6,1
Détails,Détails_R9,81,90,1,7,10,7,15,33,25,8
Détails,Détails_R10,97,101,1,9,5,9,12,6,4,2
Commandes,Commandes_R1,2,7,2,14,6,13,21,12,7,5
Commandes,Commandes_R2,9,14,2,18,6,17,37,49,1,48
Commandes,Commandes_R3,16,21,2,15,6,14,35,49,1,48
Commandes,Commandes_R4,23,25,2,15,3,14,27,15,3,12
Commandes,Commandes_R5,27,32,2,15,6,14,82,2,2,0
Commandes,Commandes_R6,34,39,2,15,6,14,82,2,2,0
Commandes,Commandes_R7,41,43,2,15,3,14,39,3,3,0
Commandes,Commandes_R8,51,54,2,15,4,14,56,0,0,0
Commandes,Commandes_R9,56,59,2,15,4,14,56,0,0,0
Commandes,Commandes_R10,61,62,2,15,2,14,27,0,0,0
Production,Production_R1,1,6,2,18,6,17,84,3,3,0
Production,Production_R2,8,12,2,16,5,15,68,2,2,0
Production,Production_R3,14,15,2,16,2,15,28,0,0,0
Production,Production_R4,18,23,2,18,6,17,83,2,2,0
Production,Production_R5,25,30,2,18,6,17,84,1,1,0
Production,Production_R6,32,34,2,18,3,17,42,1,1,0
Production,Production_R7,37,44,2,23,8,22,84,14,9,5
Production,Production_R8,46,62,2,16,17,15,229,9,5,4
Production,Production_R9,64,65,2,16,2,15,27,2,2,0
Production,Production_R10,67,69,2,16,3,15,39,3,3,0
Production,Production_R11,71,73,3,19,3,17,42,5,5,0
Production,Production_R12,76,86,2,25,11,24,154,10,10,0
Production,Production_R13,88,92,3,16,5,14,70,0,0,0
Production,Production_R14,94,96,3,16,3,14,39,3,3,0
Production,Production_R15,98,100,3,16,3,14,42,0,0,0
Production,Production_R16,102,104,3,16,3,14,42,0,0,0
Production,Production_R17,138,175,2,14,38,13,219,12,12,0
Traitement,Traitement_R1,1,5,1,7,5,7,2,20,12,8
Traitement,Traitement_R2,7,11,1,7,5,7,2,15,11,4
Traitement,Traitement_R3,13,17,1,7,5,7,2,20,12,8
Traitement,Traitement_R4,19,31,1,8,13,8,24,51,39,12
Traitement,Traitement_R5,35,46,1,8,12,8,24,48,36,12
Traitement,Traitement_R6,50,61,1,8,12,8,24,48,36,12
Traitement,Traitement_R7,65,78,1,11,14,11,24,67,40,27
Traitement,Traitement_R8,81,92,1,8,12,8,24,36,36,0
Traitement,Traitement_R9,95,108,1,8,14,8,24,66,40,26
Traitement,Traitement_R10,112,117,1,14,6,14,0,84,19,65
Traitement,Traitement_R11,119,124,1,13,6,13,53,23,23,0
Calcul,Calcul_R1,2,110,1,17,109,17,1188,36,36,0
Calcul,Calcul_R2,113,221,1,10,109,10,1080,10,10,0
Calcul,Calcul_R3,223,260,1,6,38,6,218,7,7,0
Besoins en micas,Besoins en micas_R1,2,6,2,15,5,14,56,14,14,0
Besoins en micas,Besoins en micas_R2,9,25,2,15,17,14,230,8,5,3
Besoins en micas,Besoins en micas_R3,27,28,2,15,2,14,26,2,2,0
Besoins en micas,Besoins en micas_R4,30,34,2,16,5,15,68,3,3,0
Besoins en micas,Besoins en micas_R5,36,40,2,15,5,14,67,3,3,0
Besoins en micas,Besoins en micas_R6,43,56,2,16,14,15,195,2,2,0
Besoins en micas,Besoins en micas_R7,59,71,2,15,13,14,180,2,2,0
Besoins en micas,Besoins en micas_R8,73,78,2,15,6,14,78,6,6,0
Besoins en micas,Besoins en micas_R9,80,102,2,15,23,14,314,6,6,0
Besoins en micas,Besoins en micas_R10,104,109,2,15,6,14,83,1,1,0
Besoins en micas,Besoins en micas_R11,113,116,2,16,4,15,60,0,0,0
Besoins en micas,Besoins en micas_R12,118,119,2,16,2,15,29,0,0,0
Besoins en micas,Besoins en micas_R13,123,126,2,15,4,14,56,0,0,0
Besoins en micas,Besoins en micas_R14,128,129,2,15,2,14,27,1,1,0
Besoins en micas,Besoins en micas_R15,133,136,2,15,4,14,56,0,0,0
Besoins en micas,Besoins en micas_R16,140,251,2,12,112,11,1091,122,23,99
Feuil3,Feuil3_R1,4,12,1,15,9,15,98,20,20,0
Feuil3,Feuil3_R2,15,20,2,15,6,14,65,8,4,4
Feuil3,Feuil3_R3,22,27,2,15,6,14,69,8,4,4
Feuil3,Feuil3_R4,30,33,2,15,4,14,49,1,0,1
Feuil3,Feuil3_R5,37,54,2,17,18,16,218,17,17,0
Feuil3,Feuil3_R6,56,57,2,15,2,14,25,1,1,0
Feuil3,Feuil3_R7,60,66,2,16,7,15,78,20,20,0
CA,CA_R1,4,7,2,17,4,16,57,0,0,0
CA,CA_R2,9,12,2,17,4,16,57,0,0,0
CA,CA_R3,14,15,2,15,2,14,27,1,1,0
CA,CA_R4,19,22,2,15,4,14,56,0,0,0
CA,CA_R5,24,28,2,15,5,14,70,0,0,0
CA,CA_R6,30,34,2,18,5,17,43,29,5,24
CA,CA_R7,36,40,2,16,5,15,65,7,7,0
CA,CA_R8,45,50,2,15,6,14,83,1,1,0
CA,CA_R9,52,55,2,17,4,16,58,2,2,0
CA,CA_R10,57,168,2,13,112,12,1129,10,10,0
CA,CA_R11,170,194,2,11,25,10,147,72,72,0
CA,CA_R12,197,209,2,11,13,10,28,47,24,23
Sal,Sal_R1,2,8,2,18,7,17,75,29,17,12
Sal,Sal_R2,17,18,2,16,2,15,26,4,2,2
Sal,Sal_R3,22,26,1,17,5,17,68,8,6,2
Sal,Sal_R4,30,46,1,18,17,18,270,33,33,0
Sal,Sal_R5,48,54,1,18,7,18,112,14,14,0
Sal,Sal_R6,56,60,2,18,5,17,77,6,5,1
Sal,Sal_R7,62,66,1,18,5,18,78,9,9,0
Sal,Sal_R8,68,71,1,18,4,18,60,4,4,0
Sal,Sal_R9,75,91,1,18,17,18,286,17,17,0
Sal,Sal_R10,93,99,1,18,7,18,119,7,7,0
Sal,Sal_R11,101,105,2,18,5,17,30,53,5,48
Sal,Sal_R12,107,111,1,17,5,17,78,5,5,0
Sal,Sal_R13,113,116,1,17,4,17,34,28,4,24
Sal,Sal_R14,121,136,2,18,16,17,256,0,0,0
Sal,Sal_R15,138,144,2,18,7,17,112,0,0,0
Sal,Sal_R16,146,149,2,18,4,17,64,0,0,0
Sal,Sal_R17,151,154,2,18,4,17,64,0,0,0
Sal,Sal_R18,156,158,2,18,3,17,46,1,1,0
Sal,Sal_R19,160,164,2,16,5,15,67,4,4,0
Sal,Sal_R20,166,171,2,16,6,15,79,6,6,0
Sal,Sal_R21,173,174,2,16,2,15,26,1,1,0
Sal,Sal_R22,176,181,2,16,6,15,78,6,6,0
Sal,Sal_R23,183,189,2,17,7,16,98,7,7,0
Sal,Sal_R24,191,195,2,16,5,15,66,6,6,0
Sal,Sal_R25,197,201,2,16,5,15,59,12,5,7
Sal,Sal_R26,203,207,2,16,5,15,44,28,4,24
Sal,Sal_R27,209,213,2,16,5,15,66,5,5,0
Détails Achats direct,Détails Achats direct_R1,3,15,3,17,13,15,181,2,2,0
Détails Achats direct,Détails Achats direct_R2,18,19,3,6,2,4,2,6,4,2
Détails Achats direct,Détails Achats direct_R3,21,22,3,16,2,14,27,1,1,0
Détails Achats direct,Détails Achats direct_R4,24,26,3,16,3,14,39,2,2,0
Détails Achats direct,Détails Achats direct_R5,31,32,3,16,2,14,26,2,2,0
Détails Achats direct,Détails Achats direct_R6,34,50,3,16,17,14,202,30,16,14
Primes,Primes_R1,2,6,3,16,5,14,68,2,2,0
Primes,Primes_R2,8,12,2,16,5,15,75,0,0,0
Primes,Primes_R3,15,20,3,11,6,9,30,14,8,6
Primes,Primes_R4,22,27,3,16,6,14,82,2,2,0
Primes,Primes_R5,29,32,3,15,4,13,52,0,0,0
Primes,Primes_R6,34,56,2,16,23,15,338,4,4,0
Primes,Primes_R7,60,62,3,8,3,6,9,8,4,4
Primes,Primes_R8,64,71,2,8,8,7,42,13,9,4
Primes,Primes_R9,73,81,2,16,9,15,132,3,3,0
Primes,Primes_R10,84,86,3,8,3,6,9,8,4,4
Primes,Primes_R11,88,96,2,8,9,7,56,6,2,4
Primes,Primes_R12,98,107,2,16,10,15,147,3,3,0
Achat,Achat_R1,4,5,2,18,2,17,26,4,4,0
Achat,Achat_R2,9,10,2,18,2,17,26,4,4,0
Achat,Achat_R3,12,29,2,18,18,17,234,35,35,0
Achat,Achat_R4,31,32,2,16,2,15,26,2,2,0
Achat,Achat_R5,34,35,2,16,2,15,26,2,2,0
Achat,Achat_R6,37,41,2,16,5,15,66,4,4,0
Achat,Achat_R7,43,45,2,16,3,15,40,3,3,0
Achat,Achat_R8,47,48,2,16,2,15,27,2,2,0
Prestation,Prestation_R1,4,8,2,16,5,15,68,2,2,0
Prestation,Prestation_R2,10,12,2,16,3,15,40,2,2,0
Prestation,Prestation_R3,15,16,2,4,2,3,0,6,4,2
Prestation,Prestation_R4,18,19,2,16,2,15,25,3,3,0
Prestation,Prestation_R5,23,29,2,19,7,18,97,8,4,4
Prestation,Prestation_R6,31,39,2,21,9,20,91,15,10,5
Prestation,Prestation_R7,41,71,2,18,31,17,186,239,58,181
Prestation,Prestation_R8,74,75,2,16,2,15,26,1,1,0
Prestation,Prestation_R9,78,79,2,16,2,15,26,2,2,0
