sheet,domain,role,persist,constant_cells,formula_cells,non_empty_cells
FORT DAUPHIN,OPERATIONS,SOURCE_DATA,True,3806,388,4194
BL,FINANCIAL_STATEMENTS,ACCOUNTING_DATA,True,1700,1082,2782
Données SOMIDA,PARAMETERS,INPUT_PARAMETER,True,252,220,472
Stat,REPORTING,REPORT,False,83,1565,1648
Org,PAYROLL,REFERENCE,True,577,240,817
 OKB TRA ABR,OPERATIONS,COST_SIMULATION,True,107,43,150
OKB FP1,OPERATIONS,COST_SIMULATION,True,106,50,156
Goodeis,OPERATIONS,COST_SIMULATION,True,215,75,290
Org (2),PAYROLL,REFERENCE,False,772,260,1032
Organigramme,PAYROLL,REPORT,False,73,2,75
Recap coupeuses FD,PAYROLL,SOURCE_DATA,True,35,24,59
AMPANDRANDAVA,OPERATIONS,SOURCE_DATA,True,1141,653,1794
Recap coupeuses Ampandra,PAYROLL,SOURCE_DATA,True,58,3,61
Commande à honorer,ORDERS,INTERMEDIATE,False,103,19,122
Détails,ORDERS,DETAIL,True,212,129,341
Commandes,ORDERS,BUSINESS_DATA,True,136,492,628
Production,PRODUCTION,CALCULATION,True,72,1377,1449
Traitement,PRODUCTION,CALCULATION,True,492,203,695
Calcul,PRODUCTION,TECHNICAL_CALCULATION,False,55,2486,2541
Tableau de bord,REPORTING,REPORT,False,1,0,1
Besoins en micas,MATERIALS,CALCULATION,True,180,2676,2856
Feuil3,PAYROLL,INTERMEDIATE,False,86,610,696
CA,REVENUE,CALCULATION,True,182,1863,2045
Sal,PAYROLL,CALCULATION,True,312,2533,2845
Détails Achats direct,PURCHASES,DETAIL,True,48,490,538
Primes,PAYROLL,CALCULATION,True,70,1044,1114
Achat,PURCHASES,CALCULATION,True,77,486,563
Prestation,SERVICES,BUSINESS_DATA,True,335,730,1065
Feuil1 (2),PAYROLL,MONTHLY_SUMMARY,True,661,23,684
I&T,EXPENSES,CALCULATION,True,59,123,182
Autres,EXPENSES,CALCULATION,True,10,29,39
Amort,INVESTMENTS,CALCULATION,True,20,187,207
Frais financier,FINANCING,CALCULATION,True,4,39,43
CR Nature FD,FINANCIAL_STATEMENTS,RESULT,True,147,771,918
Etat_Trésorerie FD,TREASURY,RESULT,True,371,694,1065
Invest FD,INVESTMENTS,BUSINESS_DATA,True,95,219,314
Feuil1,PURCHASES,SOURCE_DATA,True,45,69,114
AN,ANALYSIS,RESULT,True,496,2583,3079
Emprunts FD,FINANCING,BUSINESS_DATA,True,48,668,716
Détails FF FD,FINANCING,DETAIL,True,111,131,242
