sheet,pattern,occurrences,example_cell,example_formula,business_rule_code,business_description,status
Calcul,=+'BESOINSENMICAS'!CELL,1188,A3,=+'Besoins en micas'!B142,,,TO_REVIEW
Calcul,=CA!CELL,972,A114,=CA!B59,,,TO_REVIEW
Sal,=+CELL,846,D13,=+D2,,,TO_REVIEW
Besoins en micas,=+CELL,701,C9,=+C2,,,TO_REVIEW
AN,=+CELL,688,C12,=+C62,,,TO_REVIEW
CA,=+CELL,514,B12,=+B7,,,TO_REVIEW
Sal,=+CELL+CELL,460,D26,=+D24+D25,,,TO_REVIEW
Stat,='BESOINSENMICAS'!#REF!,432,C4,='Besoins en micas'!#REF!,,,TO_REVIEW
AN,=SUM(CELL:CELL),376,P3,=SUM(H3:O3),,,TO_REVIEW
Sal,=+PRIMES!CELL,328,D75,=+Primes!D48,,,TO_REVIEW
AN,=+CELL+CELL,316,D26,=+D89+D90,,,TO_REVIEW
CA,=+CELL/'DONNÉESSOMIDA'!CELL,314,C54,=+C53/'Données SOMIDA'!$E$6,,,TO_REVIEW
Production,=+CELL,310,B9,=+B3,,,TO_REVIEW
Sal,=SUM(CELL:CELL),291,D7,=SUM(D3:D6),,,TO_REVIEW
Besoins en micas,=SUM(CELL:CELL),269,O3,=SUM(C3:N3),,,TO_REVIEW
Stat,=+CELL*CELL,264,H4,=+F4*G4,,,TO_REVIEW
AN,=-(-CELL+CELL),252,D252,=-(-C252+D4),,,TO_REVIEW
Achat,=+'DÉTAILSACHATSDIRECT'!CELL,241,D4,=+'Détails Achats direct'!D15,,,TO_REVIEW
Primes,=+CELL*CELL,240,D8,=+$B$8*D6,,,TO_REVIEW
Prestation,=+CELL,229,D2,=+D18,,,TO_REVIEW
Besoins en micas,=+CELL*'DONNÉESSOMIDA'!CELL,228,C31,=+C3*'Données SOMIDA'!$D$58,,,TO_REVIEW
Primes,"=+IF(CELL>=CELL,CELL,IF(CELL>=CELL,CELL,IF(CELL>=CELL,CELL,IF(CELL>=CELL,CELL,0))))",228,D29,"=+IF(D23>=$J$16,$J$20,IF(D23>=$I$16,$I$20,IF(D23>=$H$16,$H$20,IF(D23>=$G$16,$G$20,0))))",,,TO_REVIEW
Calcul,=+PRODUCTION!CELL,216,A225,=+Production!I139,,,TO_REVIEW
