sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format
Emprunts FD,D8,8,4,NUMBER,30,CANDIDATE_PARAMETER,HIGH,544,Constante numérique utilisée par 544 formule(s),"#,##0"
Données SOMIDA,G73,73,7,NUMBER,250,CANDIDATE_PARAMETER,HIGH,229,Constante numérique utilisée par 229 formule(s),"#,##0.00"
Données SOMIDA,E6,6,5,NUMBER,4900,CANDIDATE_PARAMETER,HIGH,224,Constante numérique utilisée par 224 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Données SOMIDA,E73,73,5,NUMBER,300,CANDIDATE_PARAMETER,HIGH,109,Constante numérique utilisée par 109 formule(s),"#,##0.00"
Commandes,C47,47,3,NUMBER,0.02,CANDIDATE_PARAMETER,HIGH,108,Constante numérique utilisée par 108 formule(s),0%
Données SOMIDA,D58,58,4,NUMBER,0.8,CANDIDATE_PARAMETER,HIGH,74,Constante numérique utilisée par 74 formule(s),0.0%
Sal,C10,10,3,NUMBER,8500,CANDIDATE_PARAMETER,HIGH,72,Constante numérique utilisée par 72 formule(s),"#,##0.0"
Primes,G20,20,7,NUMBER,1,CANDIDATE_PARAMETER,HIGH,52,Constante numérique utilisée par 52 formule(s),General
Données SOMIDA,E5,5,5,NUMBER,4500,CANDIDATE_PARAMETER,HIGH,44,Constante numérique utilisée par 44 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Commandes,C4,4,3,NUMBER,20,CANDIDATE_PARAMETER,HIGH,37,Constante numérique utilisée par 37 formule(s),General
Besoins en micas,C8,8,3,NUMBER,0.02,CANDIDATE_PARAMETER,HIGH,36,Constante numérique utilisée par 36 formule(s),0%
CA,C44,44,3,NUMBER,0.05,CANDIDATE_PARAMETER,HIGH,36,Constante numérique utilisée par 36 formule(s),0.0%
Données SOMIDA,D62,62,4,NUMBER,0.25,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%
Données SOMIDA,D63,63,4,NUMBER,0.35,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%
Données SOMIDA,D64,64,4,NUMBER,0.2,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%
Commandes,C6,6,3,NUMBER,28,CANDIDATE_PARAMETER,HIGH,26,Constante numérique utilisée par 26 formule(s),General
Commandes,C5,5,3,NUMBER,17.8,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General
Commandes,C7,7,3,NUMBER,25.2,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General
Données SOMIDA,E27,27,5,NUMBER,1050000,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00"
Données SOMIDA,E28,28,5,NUMBER,918750,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00"
Données SOMIDA,G71,71,7,NUMBER,250,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00"
Données SOMIDA,G72,72,7,NUMBER,100,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00"
Données SOMIDA,G74,74,7,NUMBER,450,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00"
Données SOMIDA,G75,75,7,NUMBER,250,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),"#,##0.00"
Données SOMIDA,D79,79,4,NUMBER,350,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General
Données SOMIDA,D80,80,4,NUMBER,350,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General
Données SOMIDA,D81,81,4,NUMBER,425,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General
Données SOMIDA,D82,82,4,NUMBER,300,CANDIDATE_PARAMETER,HIGH,25,Constante numérique utilisée par 25 formule(s),General
CA,C43,43,3,NUMBER,0.05,CANDIDATE_PARAMETER,HIGH,24,Constante numérique utilisée par 24 formule(s),0.0%
Emprunts FD,A20,20,1,NUMBER,1,CANDIDATE_PARAMETER,HIGH,19,Constante numérique utilisée par 19 formule(s),"#,##0"
Données SOMIDA,D10,10,4,NUMBER,0.03,CANDIDATE_PARAMETER,HIGH,16,Constante numérique utilisée par 16 formule(s),0.0%
Données SOMIDA,E20,20,5,NUMBER,20,CANDIDATE_PARAMETER,HIGH,15,Constante numérique utilisée par 15 formule(s),"#,##0.00"
Prestation,C28,28,3,NUMBER,1250000,CANDIDATE_PARAMETER,HIGH,15,Constante numérique utilisée par 15 formule(s),"#,##0.00"
Détails Achats direct,D18,18,4,NUMBER,1510,CANDIDATE_PARAMETER,HIGH,14,Constante numérique utilisée par 14 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
 OKB TRA ABR,B22,22,2,NUMBER,110000,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"_-* #,##0\ _€_-;\-* #,##0\ _€_-;_-* ""-""??\ _€_-;_-@_-"
Données SOMIDA,E71,71,5,NUMBER,200,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00"
Données SOMIDA,E72,72,5,NUMBER,300,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00"
Données SOMIDA,E75,75,5,NUMBER,200,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00"
Données SOMIDA,D83,83,4,NUMBER,450,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),General
Détails Achats direct,D19,19,4,NUMBER,1475,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Prestation,C32,32,3,NUMBER,100,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00"
Prestation,C15,15,3,NUMBER,5000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00"
Prestation,C25,25,3,NUMBER,110000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00"
Prestation,C26,26,3,NUMBER,140000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00"
Prestation,C27,27,3,NUMBER,250000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00"
Prestation,C33,33,3,NUMBER,50,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00"
Prestation,C34,34,3,NUMBER,100,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00"
Prestation,C37,37,3,NUMBER,4200000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00"
Sal,C15,15,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General
Sal,C17,17,3,NUMBER,6,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General
Sal,C18,18,3,NUMBER,2,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General
Sal,C20,20,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General
Sal,C22,22,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General
Sal,C23,23,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General
CR Nature FD,O39,39,15,NUMBER,14717915203.511246,CANDIDATE_PARAMETER,HIGH,10,Constante numérique utilisée par 10 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Org,K133,133,11,NUMBER,500,CANDIDATE_PARAMETER,HIGH,10,Constante numérique utilisée par 10 formule(s),General
Org (2),K241,241,11,NUMBER,500,CANDIDATE_PARAMETER,HIGH,10,Constante numérique utilisée par 10 formule(s),General
Données SOMIDA,F48,48,6,NUMBER,22.5,CANDIDATE_PARAMETER,HIGH,7,Constante numérique utilisée par 7 formule(s),"#,##0.00"
Org,J113,113,10,NUMBER,281250,CANDIDATE_PARAMETER,HIGH,6,Constante numérique utilisée par 6 formule(s),"#,##0"
AN,E73,73,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,J74,74,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,D75,75,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,J75,75,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,K75,75,11,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,L75,75,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,M75,75,13,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,N75,75,14,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,O75,75,15,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,D96,96,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,E96,96,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,F96,96,6,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,H96,96,8,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,I96,96,9,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,K96,96,11,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,L96,96,12,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,D102,102,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,E102,102,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,F102,102,6,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,G102,102,7,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
