sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
Emprunts FD,D8,8,4,NUMBER,30,CANDIDATE_PARAMETER,HIGH,544,Constante numérique utilisée par 544 formule(s),"#,##0",B6=En millier d'Ar | B7=n | C7=Differé | D7=n | E7=i | F7=VA | B8==+C8+D8 | C8=6 | E8==+E5/12 | F8==+E2 | B10=Tableau d'amortissement de l'emprunt (limité à 500 périodes)
Données SOMIDA,G73,73,7,NUMBER,250,CANDIDATE_PARAMETER,HIGH,229,Constante numérique utilisée par 229 formule(s),"#,##0.00",E71=200 | F71=ar/kg | G71=250 | H71=Ar/kg | I71=Vente | E72=300 | F72=ar/kg | G72=100 | H72=Ar/kg | I72=TRA | E73=300 | F73=ar/kg | H73=Ar/kg | G74=450 | H74=Ar/kg | I74==+C79 | E75=200 | F75=ar/kg | G75=250 | H75=Ar/kg | I75==+C80
Données SOMIDA,E6,6,5,NUMBER,4900,CANDIDATE_PARAMETER,HIGH,224,Constante numérique utilisée par 224 formule(s),"#,##0_ ;[Red]\-#,##0\ ",C4=Monnaie | D4=Unité | E4=Montant | C5=Taux de change USD | D5=MGA/USD | E5=4500 | C6=Taux de change EUR | D6=MGA/EUR | C7=Augmentation globale de salaire | E7=0.08 | C8=Taux de TVA | E8=0.2
Données SOMIDA,E73,73,5,NUMBER,300,CANDIDATE_PARAMETER,HIGH,109,Constante numérique utilisée par 109 formule(s),"#,##0.00",C71==+C62 | D71=115 km | E71=200 | F71=ar/kg | G71=250 | C72==+C63 | D72=260 km | E72=300 | F72=ar/kg | G72=100 | C73=FP1 GAZ | D73=260 km | F73=ar/kg | G73=250 | C74==+C64 | D74=0 km | G74=450 | C75==+C65 | D75=200 km | E75=200 | F75=ar/kg | G75=250
Commandes,C47,47,3,NUMBER,0.02,CANDIDATE_PARAMETER,HIGH,108,Constante numérique utilisée par 108 formule(s),0%,B45=Total general | C45==+C32+C39+C43 | D45==+D32+D39+D43 | E45==+E32+E39+E43 | B47=Niveau Stocks | B49=Rubriques | C49==+C41 | D49==+D41 | E49==+E41
Données SOMIDA,D58,58,4,NUMBER,0.8,CANDIDATE_PARAMETER,HIGH,74,Constante numérique utilisée par 74 formule(s),0.0%,C56=Besoins en Matieres Premieres | D56=Unité | E56==+D15 | F56==+E15 | C57=Matieres de base | D57=Micas gazs | C58=Rendement micas bruts vs gaz | C59=Rendement micas bruts vs dechets | D59=0.1 | C60=Besoins en Micas Gaz | E60==+D48/$D$58 | F60==+E48/$D$58
Sal,C10,10,3,NUMBER,8500,CANDIDATE_PARAMETER,HIGH,72,Constante numérique utilisée par 72 formule(s),"#,##0.0",B8=Nombre de jour | D8=25 | E8=25 | B10=Cout journalier | A12=JOURNALIERS ET TEMPORAIRES
Primes,G20,20,7,NUMBER,1,CANDIDATE_PARAMETER,HIGH,52,Constante numérique utilisée par 52 formule(s),General,E18=T/Mois/Equipe | F18==+Org!M64 | G18==+D18*F18*$G$15*1000 | H18==+D18*F18*$H$15*1000 | I18==+$D$18*$F$18*$I$15*1000 | E19=T/Mois/Equipe | F19=6 | G19==+D19*F19*$G$15*1000 | H19==+D19*F19*$H$15*1000 | I19==+$D$19*$F$19*$I$15*1000 | F20=Primes | H20==+G20*2 | I20==+H20+G20 | E22==+'Besoins en micas'!D59 | F22==+'Besoins en micas'!E59 | G22==+'Besoins en micas'!F59 | H22==+'Besoins en micas'!G59 | I22==+'Besoins en micas'!H59
Données SOMIDA,E5,5,5,NUMBER,4500,CANDIDATE_PARAMETER,HIGH,44,Constante numérique utilisée par 44 formule(s),"#,##0_ ;[Red]\-#,##0\ ",C4=Monnaie | D4=Unité | E4=Montant | C5=Taux de change USD | D5=MGA/USD | C6=Taux de change EUR | D6=MGA/EUR | E6=4900 | C7=Augmentation globale de salaire | E7=0.08
Commandes,C4,4,3,NUMBER,20,CANDIDATE_PARAMETER,HIGH,37,Constante numérique utilisée par 37 formule(s),General,C2==+C45 | D2==+D45 | E2==+E45 | B3=Conditionnement | C3=Poids | E3=Nbre Sacs | B4==+B28 | D4=T/CT | E4==+C4*1000/50 | B5==+B29 | C5=17.8 | D5=T/CT | E5==+C5*1000/50 | B6==+B30 | C6=28 | D6=T/CT | E6==+C6*1000/50
Besoins en micas,C8,8,3,NUMBER,0.02,CANDIDATE_PARAMETER,HIGH,36,Constante numérique utilisée par 36 formule(s),0%,B6=Total | C6==SUM(C3:C5) | D6==SUM(D3:D5) | E6==SUM(E3:E5) | B8=Niveau de stocks | B9=Stocks | C9==+C2 | D9==+D2 | E9==+E2 | B10==+B3 | C10=0 | D10==+C22 | E10==+D22
CA,C44,44,3,NUMBER,0.05,CANDIDATE_PARAMETER,HIGH,36,Constante numérique utilisée par 36 formule(s),0.0%,"B42=Libellés | C42==+C17 | D42==+D17 | E42==+E17 | B43=Produit brut | C43=0.05 | B44=Produits transformés | B45==+B19 | C45==+SUMIF($B$18:$B$31,$B$45,C18:C31)*$C$44 | D45==+SUMIF($B$18:$B$31,$B$45,D18:D31)*$C$44 | E45==+SUMIF($B$18:$B$31,$B$45,E18:E31)*$C$44 | B46==+B20 | C46==+SUMIF($B$18:$B$31,$B$46,C18:C31)*$C$44 | D46==+SUMIF($B$18:$B$31,$B$46,D18:D31)*$C$44 | E46==+SUMIF($B$18:$B$31,$B$46,E18:E31)*$C$44"
Données SOMIDA,D62,62,4,NUMBER,0.25,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%,C60=Besoins en Micas Gaz | E60==+D48/$D$58 | F60==+E48/$D$58 | C61=Lieux d'achats | C62=Tranomaro | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | D63=0.35 | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | D64=0.2 | E64==+D64*$E$60 | F64==+$F$60*D64
Données SOMIDA,D63,63,4,NUMBER,0.35,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%,C61=Lieux d'achats | C62=Tranomaro | D62=0.25 | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | D64=0.2 | E64==+D64*$E$60 | F64==+$F$60*D64 | C65=Autres | D65==100%-D62-D63-D64 | E65==+D65*$E$60 | F65==+$F$60*D65
Données SOMIDA,D64,64,4,NUMBER,0.2,CANDIDATE_PARAMETER,HIGH,29,Constante numérique utilisée par 29 formule(s),0%,C62=Tranomaro | D62=0.25 | E62==+D62*$E$60 | F62==+$F$60*D62 | C63=Ampandrandava | D63=0.35 | E63==+D63*$E$60 | F63==+$F$60*D63 | C64=Fort dauphin | E64==+D64*$E$60 | F64==+$F$60*D64 | C65=Autres | D65==100%-D62-D63-D64 | E65==+D65*$E$60 | F65==+$F$60*D65 | C66=Benato
