sheet_index,sheet,max_row,max_column,used_range,non_empty_cells,constant_cells,formula_cells,formula_ratio
1,FORT DAUPHIN,249,26,A2:Z249,4194,3806,388,0.0925
2,BL,202,21,A1:U202,2782,1700,1082,0.3889
3,Données SOMIDA,114,18,B1:R114,472,252,220,0.4661
4,Stat,165,31,B1:AE116,1648,83,1565,0.9496
5,Org,137,68,A2:BG137,817,577,240,0.2938
6, OKB TRA ABR,46,6,A1:F46,150,107,43,0.2867
7,OKB FP1,48,6,A1:F48,156,106,50,0.3205
8,Goodeis,79,13,A1:M65,290,215,75,0.2586
9,Org (2),245,63,B2:BI245,1032,772,260,0.2519
10,Organigramme,55,16,B2:P55,75,73,2,0.0267
11,Recap coupeuses FD,16,15,B1:O11,59,35,24,0.4068
12,AMPANDRANDAVA,78,23,A1:W78,1794,1141,653,0.364
13,Recap coupeuses Ampandra,12,15,A3:N9,61,58,3,0.0492
14,Commande à honorer,27,11,A1:K27,122,103,19,0.1557
15,Détails,117,15,A1:O116,341,212,129,0.3783
16,Commandes,62,18,B2:R62,628,136,492,0.7834
17,Production,188,27,B1:Y176,1449,72,1377,0.9503
18,Traitement,124,14,A1:N124,695,492,203,0.2921
19,Calcul,260,17,A1:Q260,2541,55,2486,0.9784
20,Tableau de bord,15,48,K5:K5,1,1,0,0.0
21,Besoins en micas,292,18,B1:P292,2856,180,2676,0.937
22,Feuil3,77,17,A3:Q77,696,86,610,0.8764
23,CA,212,19,B2:R209,2045,182,1863,0.911
24,Sal,213,19,A2:R213,2845,312,2533,0.8903
25,Détails Achats direct,50,17,C2:Q50,538,48,490,0.9108
26,Primes,114,16,A2:P114,1114,70,1044,0.9372
27,Achat,48,18,B2:R48,563,77,486,0.8632
28,Prestation,127,21,B2:U127,1065,335,730,0.6854
29,Feuil1 (2),28,27,A1:AA28,684,661,23,0.0336
30,I&T,17,17,B2:Q17,182,59,123,0.6758
31,Autres,5,16,B2:P5,39,10,29,0.7436
32,Amort,17,16,B2:P15,207,20,187,0.9034
33,Frais financier,13,16,B2:P4,43,4,39,0.907
34,CR Nature FD,79,21,B2:P79,918,147,771,0.8399
35,Etat_Trésorerie FD,2807,18,B1:P90,1065,371,694,0.6516
36,Invest FD,52,15,B2:O37,314,95,219,0.6975
37,Feuil1,13,12,B3:L13,114,45,69,0.6053
38,AN,281,17,B2:Q281,3079,496,2583,0.8389
39,Emprunts FD,117,14,A2:K110,716,48,668,0.933
40,Détails FF FD,22,16,B2:P21,242,111,131,0.5413
